negative,positive,neutral
На Вашем месте я тоже пожаловался бы. Спасибо за обратную связь! Мы примем меры.,Спасибо за обратную связь! Я рад Вашим положительным впечатлениям!,Спасибо за сообщение! Приятного Вам дня!
"Спасибо, что написали мне! Я помогу Вам со всем разобраться и передам Ваше обращение уполномоченным по борьбе с грустными лицами в стенах ВУЗа.","Так приятно, что вы делитесь с нами положительными впечатлениями! Не стесняйтесь сделать это еще раз ","На случай, если буду нужен, то я там же, где и был, когда был не нужен. "
"Я сожалею, что это произошло именно с Вами. Обсужу эту проблему с руководством.","Спасибо за фидбек! Мы очень рады, что наш ВУЗ оставляет положительное впечатление!",Благодарим вас за оставленный отзыв. Нам важно слышать своих студентов и меняться в лучшую сторону.
"Очень жаль, что Вы оказались в такой ситуации. Я уже делаю все возможное, чтобы такое больше не повторилось.","Спасибо за отзыв. Это замечательно, что у вас все хорошо! Желаем удачной учебы. ","Спасибо за отзыв! Пожалуйста, всегда будьте открыты в ваших замечаниях и предложениях — это действительно помогает нам стать лучше."
"Спасибо за отзыв. У каждого хоть раз случаются трудности, и мы обязательно поможем вам с ними разобраться. ",Спасибо за позитивный отзыв! Постараемся не опускать планку и продолжать дальше радовать Вас!,
Благодарю за отзыв! Наша команда начинает работу над Вашей проблемой.,Спасибо за положительный комментарий! Надеемся университет продолжит Вас радовать!,
Благодарю за отзыв! Наша команда начинает расследование.,"Хоть я и бот, но Вы вогнали меня в краску таким комплиментом. Спасибо!",
"Какой кошмар! Мы были готовы ко всему, но только не к этому. Передаю обращение на рассмотрение.","Я очень рад, что у Вас положительное мнение об университете. Спасибо за отзыв! ",
"Спасибо, что обратили мое внимание на проблему! Наша команда сделает все возможное для ее скорейшего разрешения.","Мне так приятно видеть Вас довольными. Надеюсь, Вы напишете мне еще что-нибудь приятное!",
"Это совершенно несправедливо, что Вам пришлось столкнуться с данной проблемой! Постарайтесь сохранять спокойствие, я помогу разобраться с данной ситуацией. ","Не любить Вышку — преступление, любить — наказание. Спасибо, что Вы с нами!",
"Спасибо за Ваш отзыв! Очень жаль, что Вам пришлось столкнуться с этой проблемой. Наша команда примет меры по ее скорейшему разрешению.",Все время думать одну и ту же мысль нельзя! Это очень вредно! Поэтому пишите мне новые комплименты почаще),
"Пожалуйста, не огорчайтесь. Мы уверены, в скором времени все будет хорошо, мы поможем вам в этом разобраться. ",Большое спасибо за добрые слова! Будем и дальше стараться радовать наших замечательных студентов :),
Благодарим Вас за обращение. Команда Вышки уже приступает к разрешению проблемы. Keep calm!,,
"Действительно, хватит это терпеть! Ваше обращение зарегистрировано. Мы обязательно поможем Вам разрешить это недоразумение.",,
Ваше обращение делает университетскую среду комфортнее для всех. Благодарю Вас!,,
Спасибо за Ваше обращение! Постараемся разобраться с проблемой как можно скорее.,,
"Спасибо за Ваше обращение! Проблема принята в работу. Надеемся, Вам больше не придется с ней столкнуться.",,
Благодарим Вас за обращение! Приступим к решению проблемы как можно скорее!,,
"Хм, спасибо, что сказали. Мы порешаем",,
"Что ж, у каждого свои недостатки. Но спасибо, что сказали. Я попробую это решить.",,
"Если это действительно происходит, надо срочно что-то делать! Чего же вы молчали? Беру проблему в разработку.",,
Спасибо за отзыв! Сделаю все возможное для скорейшего решения Вашей проблемы., ,
"Человеческий фактор, такое случается. Благодарю за обращение. Прошу немного подождать, пока решится этот вопрос, и не делать поспешных выводов.",,
"Ситуация сложилась неприятная, согласен. Попробую помочь решить вопрос.",,
"Сожалею, что это произошло. Я разберусь с ситуацией в кратчайшие сроки.",,
"Спасибо, что смогли поделиться историей о произошедшем, несмотря на негативные эмоции. Наша команда приняла Ваше обращение и уже работает над решением проблемы.",,
"Согласен полностью. Кошмар. Наша команда уже работает над тем, чтобы исправить ситуацию.",,
"Я разделяю ваше мнение по поводу того, что это недопустимо. В скором времени я займусь решением Вашей проблемы. Спасибо, что делаете Вышку лучше!",,
"Ситуация, в которой вы оказались, неприемлема! Постараемся как можно скорее решить проблему. Надеюсь, что проведенная нами работа убедит Вас в том, что эта ситуация – лишь единичный случай. ",,
"Благодарим Вас за отзыв. Хотелось бы разобраться в данной ситуации, решить и исключить дальнейшее ее повторение.",,
